node,node_dc,latitude,longitude,urban_group,air_region,airport_name
FYN,0.006897,47.751758,88.0869,none,none,Fuyun Airport
XYI,0.004598,16.829044,112.34076,none,none,Sansha Yongxing Airport
DTU,0.004598,48.447837,126.132337,none,none,Wudalianchi Dedu Airport
HCJ,0.004598,24.801072,107.715025,none,none,Hechi Airport
RHT,0.004598,39.225406,101.546915,none,none,Alxa Left Banner Airport
EJN,0.004598,42.014143,101.002862,none,none,Mesozoic-cenozoic Airport
GMQ,0.004598,34.419851,100.302977,none,none,Golog Maqin Airport 
HPG,0.004598,31.635114,110.344673,none,none,Shennongjia Hongping Airport 
HBQ,0.004598,38.013309,100.651566,none,none, 
TWC,0.004598,39.874877,79.0841,none,none, 
