flights,departure_lat,departure_lng,arrival_lat,arrival_lng,year,node_dc,urban_group
4290,43.907101,87.474243,34.519669,113.840797,2015,0.337931,none
4257,34.519669,113.840797,43.907101,87.474243,2015,0.478161,none
4167,36.525322,102.037537,34.438157,108.764819,2015,0.257471,none
4153,22.63925,113.8106,31.14337,121.805199,2015,0.63908,prd
4152,31.14337,121.805199,22.63925,113.8106,2015,0.772414,yrd
4150,43.957321,81.33329,43.907101,87.474243,2015,0.073563,none
4116,43.907101,87.474243,43.957321,81.33329,2015,0.337931,none
4106,34.438157,108.764819,38.322769,106.393303,2015,0.770115,none
4094,28.196667,113.220833,25.101944,102.929169,2015,0.510345,none
4089,25.101944,102.929169,28.196667,113.220833,2015,0.641379,none
4020,30.2295,120.434402,30.57852,103.946999,2015,0.602299,yrd
4012,30.57852,103.946999,30.2295,120.434402,2015,0.721839,none
4005,24.544029,118.127701,23.392429,113.298698,2015,0.436782,none
4002,27.91222,120.851898,23.392429,113.298698,2015,0.324138,none
3999,23.392429,113.298698,27.91222,120.851898,2015,0.675862,prd
3996,43.907101,87.474243,41.618911,86.138043,2015,0.337931,none
3988,41.618911,86.138043,43.907101,87.474243,2015,0.101149,none
3987,23.392429,113.298698,24.544029,118.127701,2015,0.675862,prd
3976,31.196099,121.339766,28.196667,113.220833,2015,0.358621,yrd
3918,26.538521,106.800697,40.084152,116.592735,2015,0.471264,none
3916,40.084152,116.592735,26.538521,106.800697,2015,0.887356,bth
3902,22.63925,113.8106,34.519669,113.840797,2015,0.63908,prd
3887,34.519669,113.840797,22.63925,113.8106,2015,0.478161,none
3883,23.392429,113.298698,18.302891,109.412201,2015,0.675862,prd
3874,18.302891,109.412201,23.392429,113.298698,2015,0.335632,none
3822,41.639839,123.483398,40.084152,116.592735,2015,0.445977,none
3779,34.519669,113.840797,30.2295,120.434402,2015,0.478161,none
3771,30.2295,120.434402,34.519669,113.840797,2015,0.602299,yrd
3771,40.084152,116.592735,41.639839,123.483398,2015,0.887356,bth
3758,29.71921,106.641602,31.196099,121.339766,2015,0.696552,none
3745,29.71921,106.641602,18.302891,109.412201,2015,0.696552,none
3741,19.934851,110.4589,40.084152,116.592735,2015,0.526437,none
3737,30.783751,114.208099,24.544029,118.127701,2015,0.425287,none
3735,24.544029,118.127701,30.783751,114.208099,2015,0.436782,none
3732,40.084152,116.592735,19.934851,110.4589,2015,0.887356,bth
3708,18.302891,109.412201,29.71921,106.641602,2015,0.335632,none
3685,28.196667,113.220833,31.196099,121.339766,2015,0.510345,none
3682,24.544029,118.127701,31.742041,118.862,2015,0.436782,none
3676,31.742041,118.862,24.544029,118.127701,2015,0.43908,yrd
3673,31.196099,121.339766,29.71921,106.641602,2015,0.358621,yrd
3671,30.783751,114.208099,23.392429,113.298698,2015,0.425287,none
3665,23.392429,113.298698,30.783751,114.208099,2015,0.675862,prd
3663,31.196099,121.339766,34.519669,113.840797,2015,0.358621,yrd
3644,25.101944,102.929169,31.742041,118.862,2015,0.641379,none
3626,36.51524,103.620697,40.084152,116.592735,2015,0.436782,none
3623,40.084152,116.592735,36.51524,103.620697,2015,0.887356,bth
3618,34.438157,108.764819,29.71921,106.641602,2015,0.770115,none
3605,36.266102,120.374397,45.623402,126.250298,2015,0.445977,none
3593,45.623402,126.250298,36.266102,120.374397,2015,0.452874,none
3587,30.57852,103.946999,43.907101,87.474243,2015,0.721839,none
3584,43.907101,87.474243,30.57852,103.946999,2015,0.337931,none
3579,29.71921,106.641602,34.438157,108.764819,2015,0.696552,none
3565,30.2295,120.434402,36.266102,120.374397,2015,0.602299,yrd
3558,34.519669,113.840797,31.196099,121.339766,2015,0.478161,none
3557,31.742041,118.862,25.101944,102.929169,2015,0.43908,yrd
3553,36.266102,120.374397,30.2295,120.434402,2015,0.445977,none
3545,30.783751,114.208099,31.14337,121.805199,2015,0.425287,none
3544,31.14337,121.805199,30.783751,114.208099,2015,0.772414,yrd
3532,31.196099,121.339766,39.124352,117.3461,2015,0.358621,yrd
3531,29.71921,106.641602,31.742041,118.862,2015,0.696552,none
3521,30.2295,120.434402,25.101944,102.929169,2015,0.602299,yrd
3520,31.742041,118.862,29.71921,106.641602,2015,0.43908,yrd
3519,39.124352,117.3461,31.196099,121.339766,2015,0.572414,bth
3513,25.101944,102.929169,30.2295,120.434402,2015,0.641379,none
3475,31.196099,121.339766,34.438157,108.764819,2015,0.358621,yrd
3473,31.742041,118.862,40.084152,116.592735,2015,0.43908,yrd
3472,40.084152,116.592735,31.742041,118.862,2015,0.887356,bth
3414,18.302891,109.412201,31.14337,121.805199,2015,0.335632,none
3383,31.14337,121.805199,18.302891,109.412201,2015,0.772414,yrd
3352,34.438157,108.764819,31.196099,121.339766,2015,0.770115,none
3342,37.657223,120.987221,40.084152,116.592735,2015,0.273563,none
3333,40.084152,116.592735,37.657223,120.987221,2015,0.887356,bth
3327,30.57852,103.946999,31.742041,118.862,2015,0.721839,none
3325,31.742041,118.862,30.57852,103.946999,2015,0.43908,yrd
3325,40.084152,116.592735,22.608259,108.172401,2015,0.887356,bth
3315,22.608259,108.172401,40.084152,116.592735,2015,0.4,none
3289,22.63925,113.8106,26.538521,106.800697,2015,0.63908,prd
3287,26.538521,106.800697,22.63925,113.8106,2015,0.471264,none
3283,28.196667,113.220833,19.934851,110.4589,2015,0.510345,none
3283,31.14337,121.805199,25.101944,102.929169,2015,0.772414,yrd
3280,23.392429,113.298698,34.519669,113.840797,2015,0.675862,prd
3280,19.934851,110.4589,28.196667,113.220833,2015,0.526437,none
3279,34.519669,113.840797,23.392429,113.298698,2015,0.478161,none
3236,25.101944,102.929169,31.14337,121.805199,2015,0.641379,none
3224,36.51524,103.620697,43.907101,87.474243,2015,0.436782,none
3195,43.907101,87.474243,36.51524,103.620697,2015,0.337931,none
3191,34.438157,108.764819,31.742041,118.862,2015,0.770115,none
3189,31.742041,118.862,34.438157,108.764819,2015,0.43908,yrd
3186,38.322769,106.393303,40.084152,116.592735,2015,0.331034,none
3181,40.084152,116.592735,38.322769,106.393303,2015,0.887356,bth
3178,40.853503,111.826381,40.084152,116.592735,2015,0.337931,none
